type,client,tx,amount
deposit,71,1,6.0
withdrawal,3,2,1.55
withdrawal,59,3,1.55
deposit,77,4,7.6499999999999995
deposit,44,5,7.6499999999999995
deposit,97,6,3.0
deposit,68,7,6.0
deposit,26,8,4.65
deposit,1,9,3.0
withdrawal,48,10,2.55
withdrawal,71,11,2.55
withdrawal,83,12,1.0
withdrawal,21,13,1.55
withdrawal,38,14,1.55
deposit,54,15,7.6499999999999995
withdrawal,91,16,2.55
withdrawal,46,17,1.55
deposit,77,18,7.6499999999999995
deposit,79,19,7.6499999999999995
deposit,39,20,3.0
withdrawal,46,21,2.55
withdrawal,16,22,1.55
withdrawal,51,23,2.0
deposit,16,24,7.6499999999999995
withdrawal,28,25,2.0
withdrawal,3,26,1.0
deposit,61,27,4.65
deposit,68,28,7.6499999999999995
withdrawal,60,29,2.55
withdrawal,12,30,2.55
withdrawal,81,31,2.55
withdrawal,43,32,1.0
withdrawal,4,33,1.55
withdrawal,8,34,2.0
withdrawal,48,35,2.55
withdrawal,87,36,2.0
deposit,13,37,4.65
withdrawal,82,38,2.0
withdrawal,30,39,2.0
withdrawal,22,40,2.55
deposit,67,41,7.6499999999999995
deposit,23,42,4.65
deposit,42,43,6.0
withdrawal,65,44,1.0
deposit,75,45,3.0
deposit,51,46,6.0
withdrawal,6,47,1.0
deposit,14,48,6.0
deposit,52,49,3.0
withdrawal,37,50,1.0
deposit,66,51,6.0
withdrawal,29,52,1.55
withdrawal,91,53,1.55
withdrawal,25,54,1.55
deposit,65,55,4.65
withdrawal,12,56,1.55
withdrawal,57,57,1.55
withdrawal,25,58,1.55
deposit,93,59,6.0
withdrawal,17,60,2.0
deposit,42,61,6.0
withdrawal,88,62,2.55
deposit,27,63,6.0
deposit,72,64,6.0
withdrawal,27,65,1.55
deposit,14,66,3.0
deposit,70,67,3.0
withdrawal,23,68,1.0
withdrawal,74,69,2.0
deposit,2,70,4.65
withdrawal,86,71,2.55
deposit,13,72,4.65
withdrawal,74,73,1.55
deposit,51,74,6.0
deposit,20,75,3.0
withdrawal,40,76,2.0
deposit,99,77,4.65
withdrawal,48,78,2.55
withdrawal,43,79,1.0
withdrawal,21,80,1.55
withdrawal,34,81,2.0
withdrawal,33,82,2.55
withdrawal,93,83,1.55
withdrawal,51,84,1.0
withdrawal,23,85,2.55
withdrawal,74,86,2.55
deposit,24,87,4.65
withdrawal,98,88,2.55
deposit,40,89,4.65
deposit,64,90,3.0
withdrawal,71,91,2.55
deposit,79,92,4.65
deposit,29,93,6.0
deposit,95,94,6.0
deposit,74,95,6.0
withdrawal,9,96,1.55
withdrawal,16,97,1.55
withdrawal,49,98,1.55
withdrawal,28,99,1.0
withdrawal,68,100,1.0
withdrawal,28,101,1.0
withdrawal,57,102,1.55
withdrawal,81,103,1.0
withdrawal,91,104,2.0
deposit,25,105,4.65
deposit,47,106,6.0
withdrawal,64,107,1.55
withdrawal,11,108,1.0
deposit,9,109,7.6499999999999995
deposit,46,110,6.0
withdrawal,91,111,2.55
withdrawal,3,112,1.55
withdrawal,19,113,1.55
deposit,35,114,7.6499999999999995
withdrawal,72,115,1.55
withdrawal,44,116,2.55
deposit,4,117,7.6499999999999995
deposit,40,118,7.6499999999999995
deposit,24,119,6.0
deposit,63,120,7.6499999999999995
deposit,74,121,3.0
deposit,37,122,3.0
withdrawal,25,123,2.0
withdrawal,67,124,1.55
withdrawal,68,125,1.55
withdrawal,28,126,1.0
withdrawal,48,127,1.55
withdrawal,89,128,1.55
deposit,23,129,4.65
withdrawal,30,130,1.0
withdrawal,16,131,1.0
withdrawal,92,132,1.55
deposit,42,133,4.65
withdrawal,91,134,2.55
deposit,29,135,4.65
deposit,29,136,4.65
withdrawal,97,137,1.55
deposit,85,138,6.0
deposit,58,139,3.0
deposit,62,140,6.0
deposit,62,141,3.0
deposit,99,142,6.0
withdrawal,75,143,2.0
withdrawal,54,144,2.0
withdrawal,10,145,2.0
withdrawal,86,146,1.55
withdrawal,78,147,2.55
withdrawal,59,148,2.0
withdrawal,56,149,2.0
deposit,41,150,4.65
deposit,53,151,7.6499999999999995
deposit,57,152,4.65
deposit,92,153,6.0
deposit,37,154,6.0
deposit,33,155,4.65
deposit,98,156,7.6499999999999995
deposit,67,157,4.65
withdrawal,53,158,1.0
deposit,14,159,4.65
deposit,92,160,6.0
deposit,6,161,7.6499999999999995
withdrawal,14,162,1.55
withdrawal,88,163,2.0
deposit,72,164,6.0
deposit,78,165,6.0
deposit,99,166,3.0
deposit,33,167,3.0
withdrawal,33,168,1.55
withdrawal,49,169,1.0
withdrawal,21,170,2.0
deposit,59,171,3.0
withdrawal,81,172,1.0
withdrawal,65,173,2.55
deposit,56,174,6.0
deposit,30,175,3.0
withdrawal,27,176,1.55
withdrawal,40,177,2.55
deposit,53,178,4.65
deposit,55,179,6.0
deposit,66,180,6.0
withdrawal,22,181,1.0
withdrawal,26,182,2.0
deposit,46,183,6.0
deposit,80,184,4.65
withdrawal,66,185,2.0
withdrawal,29,186,2.55
withdrawal,45,187,1.0
withdrawal,72,188,1.0
withdrawal,63,189,1.0
deposit,52,190,3.0
withdrawal,68,191,2.55
deposit,52,192,4.65
deposit,61,193,3.0
deposit,64,194,7.6499999999999995
deposit,47,195,7.6499999999999995
withdrawal,59,196,2.0
deposit,63,197,4.65
withdrawal,46,198,2.0
deposit,90,199,7.6499999999999995
withdrawal,6,200,2.0
deposit,14,201,4.65
deposit,9,202,4.65
withdrawal,73,203,1.55
withdrawal,81,204,2.55
deposit,95,205,6.0
deposit,97,206,3.0
withdrawal,30,207,2.0
withdrawal,14,208,1.0
deposit,39,209,7.6499999999999995
deposit,83,210,6.0
deposit,19,211,6.0
withdrawal,54,212,2.0
deposit,49,213,3.0
withdrawal,37,214,2.55
deposit,96,215,3.0
withdrawal,20,216,2.55
withdrawal,47,217,1.0
withdrawal,79,218,1.0
withdrawal,93,219,1.0
deposit,92,220,3.0
withdrawal,73,221,2.0
withdrawal,16,222,1.55
withdrawal,60,223,1.55
withdrawal,41,224,2.0
withdrawal,57,225,2.0
deposit,94,226,4.65
withdrawal,98,227,1.55
deposit,38,228,3.0
withdrawal,45,229,2.0
withdrawal,27,230,1.0
deposit,34,231,7.6499999999999995
deposit,10,232,3.0
deposit,76,233,7.6499999999999995
deposit,16,234,7.6499999999999995
withdrawal,3,235,2.0
deposit,86,236,7.6499999999999995
withdrawal,89,237,2.0
withdrawal,51,238,1.55
deposit,62,239,7.6499999999999995
deposit,18,240,6.0
withdrawal,92,241,2.55
withdrawal,94,242,2.0
withdrawal,72,243,1.55
deposit,40,244,6.0
withdrawal,87,245,1.55
withdrawal,54,246,1.55
deposit,47,247,3.0
deposit,76,248,4.65
withdrawal,43,249,2.0
withdrawal,74,250,2.0
deposit,31,251,3.0
deposit,82,252,6.0
withdrawal,39,253,1.55
withdrawal,59,254,1.55
deposit,96,255,6.0
deposit,84,256,7.6499999999999995
withdrawal,29,257,2.0
deposit,57,258,4.65
deposit,48,259,4.65
deposit,66,260,7.6499999999999995
withdrawal,82,261,1.0
withdrawal,54,262,2.55
deposit,16,263,6.0
withdrawal,37,264,2.0
deposit,51,265,3.0
withdrawal,32,266,2.0
withdrawal,29,267,2.0
withdrawal,50,268,1.55
deposit,33,269,4.65
withdrawal,32,270,1.0
withdrawal,62,271,2.55
withdrawal,7,272,1.0
withdrawal,24,273,2.55
deposit,39,274,4.65
withdrawal,22,275,2.55
deposit,38,276,3.0
deposit,53,277,3.0
deposit,27,278,4.65
withdrawal,22,279,2.55
withdrawal,56,280,1.0
deposit,17,281,3.0
deposit,11,282,4.65
withdrawal,73,283,2.55
deposit,77,284,7.6499999999999995
withdrawal,18,285,2.55
withdrawal,11,286,1.55
withdrawal,78,287,2.0
deposit,80,288,6.0
deposit,35,289,7.6499999999999995
deposit,35,290,7.6499999999999995
withdrawal,84,291,2.55
deposit,12,292,7.6499999999999995
withdrawal,29,293,2.55
withdrawal,84,294,1.55
withdrawal,26,295,2.55
deposit,35,296,7.6499999999999995
withdrawal,49,297,2.0
withdrawal,69,298,2.55
deposit,26,299,7.6499999999999995
withdrawal,18,300,1.55
deposit,14,301,3.0
withdrawal,5,302,2.55
deposit,71,303,6.0
deposit,88,304,6.0
withdrawal,66,305,1.0
withdrawal,14,306,1.55
withdrawal,9,307,2.0
deposit,62,308,4.65
deposit,48,309,7.6499999999999995
withdrawal,6,310,1.0
deposit,19,311,6.0
deposit,6,312,7.6499999999999995
deposit,76,313,7.6499999999999995
withdrawal,82,314,2.55
deposit,78,315,3.0
deposit,33,316,7.6499999999999995
deposit,68,317,7.6499999999999995
deposit,7,318,4.65
withdrawal,19,319,1.0
deposit,84,320,6.0
deposit,30,321,4.65
withdrawal,34,322,2.0
withdrawal,77,323,2.55
deposit,38,324,6.0
deposit,37,325,3.0
withdrawal,8,326,2.55
withdrawal,78,327,1.0
withdrawal,56,328,1.0
withdrawal,6,329,2.55
withdrawal,1,330,1.55
withdrawal,92,331,1.55
withdrawal,53,332,2.0
withdrawal,2,333,2.55
deposit,63,334,3.0
withdrawal,94,335,1.0
withdrawal,37,336,1.0
deposit,10,337,6.0
deposit,8,338,4.65
withdrawal,1,339,1.55
withdrawal,83,340,2.0
withdrawal,87,341,2.0
deposit,1,342,3.0
withdrawal,3,343,2.55
withdrawal,42,344,2.55
withdrawal,66,345,2.0
withdrawal,42,346,1.55
